Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"Jimmy owns a large selection of vinyl records. He has just inherited more records from his recently deceased mother.His mother had the exact amount of records that Jimmy has, doubling Jimmy's collection.Jimmy has decided that now is a good time to finally sort his collection by arranging the records in alphabetical order, whilst adding the new ones.Jimmy has some preferences when it comes to sorting the collection:- He doesn't have any more space for sorting. He has enough storage for all of the records, no more, no less.- With a large number of items to sort, he wants this done as fast as possible.
", , , ,"Quick sort
", ,"Heap sort:- More storage is required for sorting.Bubble sort:- Not great for larger quantities of data.- Not good for real life situations.Insertion sort:- Tends to not be as good for larger quantities of data.Merge sort:- Requires more space for sorting.Quick sort is best because it doesn't require any more space, and is the fastest algorithm that deals with large quantities well.
",
"If 617 – x is divisible by 17.What is the value of x?
", ,"6
", , , ,"Application of Fermat's Little Theorem (not expressed in the notation of modular arithmetic).17 | 617 – 6Expessed in the notation of modular arithmetic:617= 6 ( mod17 )
",
"Which of the following statements regarding complexity isnot correct?
", , ,"When computing the complexity of multi-input algorithms, we only need to consider the size of the largest input
", , ,"C is not correct - We must consider both input sizes in multi-input algorithms
",
"The following algorithm has time complexity O(f(n))int count = 0;for(int i = 0; i<n; i++){ for(int j = 0; j<(10*n); j++){ count++; } }for(int k = 0; k<n; k++){ count++; }return count;what is f(n)?
", , , ,"n2
", ,"n2 grows faster than n, so in big-O notation the time complexity 'n' from the second loop is overshadowed by the 'n^2' from the first loop, as is the complexity for initializing count and returning count. The scalar 10 is irrelevant by definition of big-O .
",
"Below we see an unbalanced tree. 5 / \ 1 6 \ 4 / 3The tree is balanced with the Right Left case, what is the output if we traverse the newly balanced tree using in order traversal?
", ,"1, 3, 4, 5, 6
", , , ,"The balanced tree should look like this: 5 / \ 3 6 / \1 4So the order printed is 1, 3, 4, 5, 6Explanation for post order traversal is described on slide 22 Week7b-Trees1File 2019
",
"Let the time taken to execute a heap sort be T(n) (where n is the number of elements to be sorted).Which of the following is true?
", , ,"T is O(log(n)), T is O(n), and T is O(2n)
", , ,"T is?(n1.25) (approx)O is a lower bound for complexity, O an upper bound and? an exact boundHence:A is wrong asO(n2) is too high +?(2n) !=?(n1.25)B is wrong as?(n)!= ?(n1.25) +O(n) is too lowC is right as both theO are less than n1.25 and the O is above itD is wrong for the same reasons as BComplexity - 2019 Week2b Powerpoint [Slide 5]
",
"An algorithm of complexity ?(2^n) takes 2 seconds to run at n=4. How long will it take to run at n=10?
", ,"128 seconds
", , , ,"(2^4)/2 = 8. (2^10)/8 = 128
",
"What is the worst case time complexity of a heap sort (2019 week 7a slide 5)
", ,"O(n*log(n))
", , , ,"O(n*log(n)) Is the both the best and worst case time complexity of a heap sort
",
"Which of the following sorting algorithms is unstable and has average time complexityT(n log(n))?
", , , , ," Quick Sort
","Merge Sort - stable,T(n log(n))Bubble Sort - stable, ?(n^2)Insertion Sort -stable, ?(n^2)Selection Sort - unstable, ?(n^2)Quick Sort - unstable,T(n log(n))
",
"What is the time complexity of the following function:int f(int n){ int count = 0; for(int i = 0; i<=n; i++){ for(int j = i; j>0; i++){ j/=2; count++; } } return count;}
","n
", , , , ,"Note that in the second for loop we increase i as well so i increases every execution.We need roughly n executions of the inner loop for i to reach n, then the loops stop.So overall time complexity of the function is n.
",
"Below we see an unbalanced tree. 5 / \ 1 6 \ 4 / 3What is the correct case for balancing and what is the output if we traverse the tree using post order traversal?
", , ,"Right Left caseOutput of 1, 4, 3, 6, 5
", , ,"The balanced tree should look like this: 5 / \ 3 6 / \1 4This is done by doing a right rotation about the node '4': 5 / \ 1 6 \ 3 \ 4Then rotating about left about node '1' to get the balanced tree. Making it the case of Right Left.Explanation for post order traversal is described on slide 24 Week7b-Trees1File 2019
",
"If an algorithm of order O( sqrt(n) ) takes 4 seconds to run at n = 50, what is the expected time for n = 200?
", , ,"8 seconds
", , ,"for O( sqrt(n) ):increasing n by a factor of 4 increases time by a factor of 2
",
"Which array function has a worst case time complexity which is higher than its average case?Key:o = objecti = index
", ,"add(o)
", , , ,,
"Consider a closed hash table where h(x) = x% 8 where the index is 0 through 7. When inserting the following data, which value occupies the place indexed 4?27, 145, 87, 45, 23, 56, 79, 135
", , ,"56
", , ,"Inserting each number in order gives that 23 takes slot 2, followed by 145 in slot 1. Using the remainder when these are divided by 8.Next 87 takes slot 7, 45 takes slot 5. Then 23 would also be in 7 so we traverse the list to the next space which we find at 2. 56 occupies 0, then 79 would also take 7 but we traverse putting it in place 4 so is the required term
",
"What is the result of using a breadth first traversal on this graph, printing every node visited?
", , , ,"A,B,C,D,E
", ,"2019 Lecture 17- Graphs 1.
",
"A closed hash function h(x) = x%13 has slots 0 through to 12. When the elements (2, 55, 4, 26, 11, 14, 37, 30, 43, 40, 44, 6, 23) are inserted into the Hash table, in what slots are 43, 6 and 44 respectively?
", ,"6th, 9th, 8th
", , , ,"2%13 = 2. So 2 is in slot 2.55%13 = 3. So 55 is in slot 3.4%13 = 4. So 4 is in slot 4.26%13 = 2. So 26 is in slot 0.11%13 = 2. So 11 is in slot 11.14%13 = 1 .So 14 is in slot 1.37%13 = 11. Slot 11 is already filled. So 37 is in slot 12.30%13= 4. Slot 4 is already filled. So 30 is in slot 5.43%13= 4. Slot 4 is already filled, slot 5 is already filled. So 43 is in slot 6.40%13= 1. Slot 1 is filled. All of the subsequent slots are filled until slot 7. 40 is in slot 7.44%13= 5. Slot 5 is filled. Slots 6 and 7 are filled. So 44 is in slot 8.6%13= 6. Slot 6 is filled. All ofof the subsequent slots are filled until slot 9. 6 is in slot 9.23%13= 10. 23 is in slot 10.
",
"Which binary tree is correct for the sequences below?In-order : B, A, D, C, Epre-order : A, B, C, D, E
", ,"A / \ B C / \ D E
", , , ,"In-order:a) DBEAC*b) BADCEc) BEDCAd) DBCAEe) EAFCBpre-ordera) ABDEC*b) ABCDEc) EBCDAd) ABDCEe) AECFB
",
"Which of the following is the correct post-order traversal of the binary tree shown below? 2 / \ 31 14 / \ / \12 7 25 16
", ,"12, 7, 31, 25, 16, 14, 2
", , , ,"A - Random generation of the numbersB - Post-order (left, right, root)C - Pre-order (root, left, right)D - In-order (left, root, right)E - Reading values from left to right, starting from the bottom row
",
"Consider the following statements about the following functions: , , and .Which one of the following statements is correct?
", ,"is of order at least and is of order at most
", , , ,"a) is incorrect, as even though f is of order at most g, it is incorrect to say that f is of order at most k.b) is correct.c) is incorrect, as although h is of order at most f, it is incorrect to say that g is of order at most f.d) is incorrect, as for f to be of order exactly k, f needs to be of order at most k (which it does not satisfy).e) is incorrect.The hierarchy of growth rates can be found on slide 12 of the week 2b powerpoint under lectures on moodle.
",
"What is the average Big Theta time complexity for Quicksort?
","
", , , , ,"See 2019 lecture 4b slide 7.
",
"What is considered a maximum height of a perfectly balanced search tree?
", , , ,"log(n)
", ,"The maximum height is log(n) for a perfectly balanced search tree.See lecture notes - Week8b - Trees3 (1) - Slide 3
",
"Consider the following algorithm with asymptotic time complexity O(f(n)).for (int i=0; i<20*n; i++) for(int j=0; j<n; j++) System.out.println(""A"");for (int i=1; i<n; i++) System.out.println(""B"");What is f(n)?
", , ,"
", , ,"The correct answer is n^2 because the first double for-loop requires n^2 operations (despite the constant of 20 in the first for loop). The second for loop requires n operations. Hence the overall time complexity is n^2.Reference Week2b slide 6.
","fs489 (fs489)
"
"Consider the following algorithm with asymptotic time complexity O(f(n)).for (int i=0; i<20*n; i++) for(int j=0; j<n; j++) System.out.println(""A"");for (int i=1; i<n; i++) System.out.println(""B"");What is f(n)?
", , ,"
", , ,"The correct answer is n^2 because the first double for-loop requires n^2 operations (despite the constant of 20 in the first for loop). The second for loop requires n operations. Hence the overall time complexity is n^2.Reference Week2b slide 6.
","fs489 (fs489)
"
"What makes an XOR or memory-efficient doubly-linked list different from a standard doubly-linked list?
", ,"Each node has only one pointer using the bitwise exclusive or combination of the previous and next pointers for that node allowing forward and backward traversal.
", , , ,"The memory efficient doubly linked list uses bitwise XOR (exclusive or) operation on the previous and next pointers to store both pointers as a single value. Traversal is accomplished by storing the previously visited node (unless on starting node when the previous value is 0) and XOR on this value with the current node pointer gives the next value. This same property of node1 XOR node2 = node3 can be reversed and therefore has the properties of a doubly linked list with reduced memory.
",
"Let , . What is the complexity in big O notation of ?
","
", , , , ,"Please see 2019 week 2b powerpoint slide 6.
",
"Which of the following is the pseudo code for insertion sort?
", ,"function sorterB(list) for i from 1 to length[list]-1 value = list[i] j = i-1 while j >= 0 and list[j] > value list[j+1] = list[j] j = j-1 end while list[j+1] = value end forreturn list
", , , ,,"jjh88 (jjh88)
"
